caso,iteración,n,ops_asignacion,ops_comparacion,ops_aritmética,ops_totales,modelo_matemático
mejor_caso,0,5000,0,14994,0,14994,14994
mejor_caso,1,5000,0,14994,0,14994,14994
mejor_caso,2,5000,0,14994,0,14994,14994
mejor_caso,3,5000,0,14994,0,14994,14994
mejor_caso,4,5000,0,14994,0,14994,14994
mejor_caso,5,5000,0,14994,0,14994,14994
mejor_caso,6,5000,0,14994,0,14994,14994
mejor_caso,7,5000,0,14994,0,14994,14994
mejor_caso,8,5000,0,14994,0,14994,14994
mejor_caso,9,5000,0,14994,0,14994,14994
peor_caso,0,5000,44982,14994,0,59976,59976
peor_caso,1,5000,44982,14994,0,59976,59976
peor_caso,2,5000,44982,14994,0,59976,59976
peor_caso,3,5000,44982,14994,0,59976,59976
peor_caso,4,5000,44982,14994,0,59976,59976
peor_caso,5,5000,44982,14994,0,59976,59976
peor_caso,6,5000,44982,14994,0,59976,59976
peor_caso,7,5000,44982,14994,0,59976,59976
peor_caso,8,5000,44982,14994,0,59976,59976
peor_caso,9,5000,44982,14994,0,59976,59976
caso_medio,0,5000,44868,14994,0,59862,37485
caso_medio,1,5000,44850,14994,0,59844,37485
caso_medio,2,5000,44844,14994,0,59838,37485
caso_medio,3,5000,44874,14994,0,59868,37485
caso_medio,4,5000,44862,14994,0,59856,37485
caso_medio,5,5000,44874,14994,0,59868,37485
caso_medio,6,5000,44856,14994,0,59850,37485
caso_medio,7,5000,44847,14994,0,59841,37485
caso_medio,8,5000,44853,14994,0,59847,37485
caso_medio,9,5000,44781,14994,0,59775,37485
