caso,iteración,n,ops_asignacion,ops_comparacion,ops_aritmética,ops_totales,modelo_matemático
mejor_caso,0,5000,5000,0,0,5000,5000
mejor_caso,1,5000,5000,0,0,5000,5000
mejor_caso,2,5000,5000,0,0,5000,5000
mejor_caso,3,5000,5000,0,0,5000,5000
mejor_caso,4,5000,5000,0,0,5000,5000
mejor_caso,5,5000,5000,0,0,5000,5000
mejor_caso,6,5000,5000,0,0,5000,5000
mejor_caso,7,5000,5000,0,0,5000,5000
mejor_caso,8,5000,5000,0,0,5000,5000
mejor_caso,9,5000,5000,0,0,5000,5000
peor_caso,0,5000,5000,0,0,5000,5000
peor_caso,1,5000,5000,0,0,5000,5000
peor_caso,2,5000,5000,0,0,5000,5000
peor_caso,3,5000,5000,0,0,5000,5000
peor_caso,4,5000,5000,0,0,5000,5000
peor_caso,5,5000,5000,0,0,5000,5000
peor_caso,6,5000,5000,0,0,5000,5000
peor_caso,7,5000,5000,0,0,5000,5000
peor_caso,8,5000,5000,0,0,5000,5000
peor_caso,9,5000,5000,0,0,5000,5000
caso_medio,0,5000,5000,0,0,5000,5000
caso_medio,1,5000,5000,0,0,5000,5000
caso_medio,2,5000,5000,0,0,5000,5000
caso_medio,3,5000,5000,0,0,5000,5000
caso_medio,4,5000,5000,0,0,5000,5000
caso_medio,5,5000,5000,0,0,5000,5000
caso_medio,6,5000,5000,0,0,5000,5000
caso_medio,7,5000,5000,0,0,5000,5000
caso_medio,8,5000,5000,0,0,5000,5000
caso_medio,9,5000,5000,0,0,5000,5000
