iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
175,2500,6664,37,4976,0,5013
176,2500,6664,20,4985,0,5005
177,2500,6664,21,4982,0,5003
178,2500,6664,19,4984,0,5003
179,2500,6664,25,4983,0,5008
180,2500,6664,31,4978,0,5009
181,2500,6664,19,4985,0,5004
182,2500,6664,15,4987,0,5002
183,2500,6664,20,4984,0,5004
184,2500,6664,18,4986,0,5004
185,2500,6664,21,4984,0,5005
186,2500,6664,18,4985,0,5003
187,2500,6664,18,4985,0,5003
188,2500,6664,29,4979,0,5008
189,2500,6664,21,4983,0,5004
190,2500,6664,23,4981,0,5004
191,2500,6664,25,4982,0,5007
192,2500,6664,15,4986,0,5001
193,2500,6664,29,4979,0,5008
194,2500,6664,13,4989,0,5002
195,2500,6664,25,4981,0,5006
196,2500,6664,16,4988,0,5004
197,2500,6664,24,4983,0,5007
198,2500,6664,20,4986,0,5006
199,2500,6664,14,4988,0,5002
200,2500,6664,20,4983,0,5003
201,2500,6664,17,4985,0,5002
202,2500,6664,22,4985,0,5007
203,2500,6664,27,4980,0,5007
204,2500,6664,20,4985,0,5005
205,2500,6664,28,4979,0,5007
206,2500,6664,24,4983,0,5007
207,2500,6664,22,4984,0,5006
208,2500,6664,19,4985,0,5004
209,2500,6664,26,4982,0,5008
210,2500,6664,13,4990,0,5003
211,2500,6664,15,4987,0,5002
212,2500,6664,28,4981,0,5009
213,2500,6664,22,4984,0,5006
214,2500,6664,25,4981,0,5006
215,2500,6664,17,4988,0,5005
216,2500,6664,20,4985,0,5005
217,2500,6664,21,4986,0,5007
218,2500,6664,37,4976,0,5013
219,2500,6664,21,4985,0,5006
220,2500,6664,26,4981,0,5007
221,2500,6664,22,4983,0,5005
222,2500,6664,18,4987,0,5005
223,2500,6664,21,4983,0,5004
224,2500,6664,29,4980,0,5009
225,2500,6664,12,4990,0,5002
226,2500,6664,20,4984,0,5004
227,2500,6664,26,4982,0,5008
228,2500,6664,22,4982,0,5004
229,2500,6664,11,4990,0,5001
230,2500,6664,25,4982,0,5007
231,2500,6664,22,4983,0,5005
232,2500,6664,32,4977,0,5009
233,2500,6664,20,4985,0,5005
234,2500,6664,29,4979,0,5008
235,2500,6664,26,4982,0,5008
236,2500,6664,33,4977,0,5010
237,2500,6664,19,4986,0,5005
238,2500,6664,17,4985,0,5002
239,2500,6664,26,4981,0,5007
240,2500,6664,19,4984,0,5003
241,2500,6664,19,4985,0,5004
242,2500,6664,22,4985,0,5007
243,2500,6664,32,4976,0,5008
244,2500,6664,10,4991,0,5001
245,2500,6664,25,4981,0,5006
246,2500,6664,19,4984,0,5003
247,2500,6664,27,4982,0,5009
248,2500,6664,23,4984,0,5007
249,2500,6664,24,4983,0,5007
250,2500,6664,24,4982,0,5006
251,2500,6664,24,4984,0,5008
252,2500,6664,23,4983,0,5006
253,2500,6664,23,4983,0,5006
254,2500,6664,31,4981,0,5012
255,2500,6664,21,4984,0,5005
256,2500,6664,22,4983,0,5005
257,2500,6664,22,4985,0,5007
258,2500,6664,18,4984,0,5002
259,2500,6664,16,4989,0,5005
260,2500,6664,20,4985,0,5005
261,2500,6664,35,4975,0,5010
262,2500,6664,25,4980,0,5005
263,2500,6664,18,4986,0,5004
264,2500,6664,20,4984,0,5004
265,2500,6664,24,4983,0,5007
266,2500,6664,25,4982,0,5007
267,2500,6664,21,4983,0,5004
268,2500,6664,23,4982,0,5005
269,2500,6664,20,4985,0,5005
270,2500,6664,23,4983,0,5006
271,2500,6664,24,4984,0,5008
272,2500,6664,17,4986,0,5003
273,2500,6664,23,4984,0,5007
274,2500,6664,19,4987,0,5006
275,2500,6664,18,4986,0,5004
276,2500,6664,29,4979,0,5008
277,2500,6664,25,4982,0,5007
278,2500,6664,29,4979,0,5008
279,2500,6664,18,4986,0,5004
280,2500,6664,23,4982,0,5005
281,2500,6664,29,4979,0,5008
282,2500,6664,22,4985,0,5007
283,2500,6664,16,4987,0,5003
284,2500,6664,19,4986,0,5005
285,2500,6664,31,4977,0,5008
