iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,2500,7497,4998,2499,0,7497
1,2500,7497,4998,2499,0,7497
2,2500,7497,4998,2499,0,7497
3,2500,7497,4998,2499,0,7497
4,2500,7497,4998,2499,0,7497
5,2500,7497,4998,2499,0,7497
6,2500,7497,4998,2499,0,7497
7,2500,7497,4998,2499,0,7497
8,2500,7497,4998,2499,0,7497
9,2500,7497,4998,2499,0,7497
10,2500,7497,4998,2499,0,7497
11,2500,7497,4998,2499,0,7497
12,2500,7497,4998,2499,0,7497
13,2500,7497,4998,2499,0,7497
14,2500,7497,4998,2499,0,7497
15,2500,7497,4998,2499,0,7497
16,2500,7497,4998,2499,0,7497
17,2500,7497,4998,2499,0,7497
18,2500,7497,4998,2499,0,7497
19,2500,7497,4998,2499,0,7497
20,2500,7497,4998,2499,0,7497
21,2500,7497,4998,2499,0,7497
22,2500,7497,4998,2499,0,7497
23,2500,7497,4998,2499,0,7497
24,2500,7497,4998,2499,0,7497
25,2500,7497,4998,2499,0,7497
26,2500,7497,4998,2499,0,7497
27,2500,7497,4998,2499,0,7497
28,2500,7497,4998,2499,0,7497
29,2500,7497,4998,2499,0,7497
30,2500,7497,4998,2499,0,7497
31,2500,7497,4998,2499,0,7497
32,2500,7497,4998,2499,0,7497
33,2500,7497,4998,2499,0,7497
34,2500,7497,4998,2499,0,7497
35,2500,7497,4998,2499,0,7497
36,2500,7497,4998,2499,0,7497
37,2500,7497,4998,2499,0,7497
38,2500,7497,4998,2499,0,7497
39,2500,7497,4998,2499,0,7497
40,2500,7497,4998,2499,0,7497
41,2500,7497,4998,2499,0,7497
42,2500,7497,4998,2499,0,7497
43,2500,7497,4998,2499,0,7497
44,2500,7497,4998,2499,0,7497
45,2500,7497,4998,2499,0,7497
46,2500,7497,4998,2499,0,7497
47,2500,7497,4998,2499,0,7497
48,2500,7497,4998,2499,0,7497
49,2500,7497,4998,2499,0,7497
50,2500,7497,4998,2499,0,7497
51,2500,7497,4998,2499,0,7497
52,2500,7497,4998,2499,0,7497
53,2500,7497,4998,2499,0,7497
54,2500,7497,4998,2499,0,7497
55,2500,7497,4998,2499,0,7497
56,2500,7497,4998,2499,0,7497
57,2500,7497,4998,2499,0,7497
58,2500,7497,4998,2499,0,7497
59,2500,7497,4998,2499,0,7497
60,2500,7497,4998,2499,0,7497
61,2500,7497,4998,2499,0,7497
62,2500,7497,4998,2499,0,7497
63,2500,7497,4998,2499,0,7497
64,2500,7497,4998,2499,0,7497
65,2500,7497,4998,2499,0,7497
66,2500,7497,4998,2499,0,7497
67,2500,7497,4998,2499,0,7497
68,2500,7497,4998,2499,0,7497
69,2500,7497,4998,2499,0,7497
70,2500,7497,4998,2499,0,7497
71,2500,7497,4998,2499,0,7497
72,2500,7497,4998,2499,0,7497
73,2500,7497,4998,2499,0,7497
74,2500,7497,4998,2499,0,7497
75,2500,7497,4998,2499,0,7497
76,2500,7497,4998,2499,0,7497
77,2500,7497,4998,2499,0,7497
78,2500,7497,4998,2499,0,7497
79,2500,7497,4998,2499,0,7497
80,2500,7497,4998,2499,0,7497
81,2500,7497,4998,2499,0,7497
82,2500,7497,4998,2499,0,7497
83,2500,7497,4998,2499,0,7497
84,2500,7497,4998,2499,0,7497
85,2500,7497,4998,2499,0,7497
86,2500,7497,4998,2499,0,7497
87,2500,7497,4998,2499,0,7497
88,2500,7497,4998,2499,0,7497
89,2500,7497,4998,2499,0,7497
90,2500,7497,4998,2499,0,7497
91,2500,7497,4998,2499,0,7497
92,2500,7497,4998,2499,0,7497
93,2500,7497,4998,2499,0,7497
94,2500,7497,4998,2499,0,7497
95,2500,7497,4998,2499,0,7497
96,2500,7497,4998,2499,0,7497
97,2500,7497,4998,2499,0,7497
98,2500,7497,4998,2499,0,7497
99,2500,7497,4998,2499,0,7497
100,2500,7497,4998,2499,0,7497
101,2500,7497,4998,2499,0,7497
102,2500,7497,4998,2499,0,7497
103,2500,7497,4998,2499,0,7497
104,2500,7497,4998,2499,0,7497
105,2500,7497,4998,2499,0,7497
106,2500,7497,4998,2499,0,7497
107,2500,7497,4998,2499,0,7497
108,2500,7497,4998,2499,0,7497
109,2500,7497,4998,2499,0,7497
110,2500,7497,4998,2499,0,7497
111,2500,7497,4998,2499,0,7497
112,2500,7497,4998,2499,0,7497
113,2500,7497,4998,2499,0,7497
114,2500,7497,4998,2499,0,7497
115,2500,7497,4998,2499,0,7497
116,2500,7497,4998,2499,0,7497
117,2500,7497,4998,2499,0,7497
118,2500,7497,4998,2499,0,7497
119,2500,7497,4998,2499,0,7497
120,2500,7497,4998,2499,0,7497
121,2500,7497,4998,2499,0,7497
122,2500,7497,4998,2499,0,7497
123,2500,7497,4998,2499,0,7497
124,2500,7497,4998,2499,0,7497
125,2500,7497,4998,2499,0,7497
126,2500,7497,4998,2499,0,7497
127,2500,7497,4998,2499,0,7497
128,2500,7497,4998,2499,0,7497
129,2500,7497,4998,2499,0,7497
130,2500,7497,4998,2499,0,7497
131,2500,7497,4998,2499,0,7497
132,2500,7497,4998,2499,0,7497
133,2500,7497,4998,2499,0,7497
134,2500,7497,4998,2499,0,7497
135,2500,7497,4998,2499,0,7497
136,2500,7497,4998,2499,0,7497
137,2500,7497,4998,2499,0,7497
138,2500,7497,4998,2499,0,7497
139,2500,7497,4998,2499,0,7497
140,2500,7497,4998,2499,0,7497
141,2500,7497,4998,2499,0,7497
142,2500,7497,4998,2499,0,7497
143,2500,7497,4998,2499,0,7497
144,2500,7497,4998,2499,0,7497
145,2500,7497,4998,2499,0,7497
146,2500,7497,4998,2499,0,7497
147,2500,7497,4998,2499,0,7497
148,2500,7497,4998,2499,0,7497
149,2500,7497,4998,2499,0,7497
150,2500,7497,4998,2499,0,7497
151,2500,7497,4998,2499,0,7497
152,2500,7497,4998,2499,0,7497
153,2500,7497,4998,2499,0,7497
154,2500,7497,4998,2499,0,7497
155,2500,7497,4998,2499,0,7497
156,2500,7497,4998,2499,0,7497
157,2500,7497,4998,2499,0,7497
158,2500,7497,4998,2499,0,7497
159,2500,7497,4998,2499,0,7497
160,2500,7497,4998,2499,0,7497
161,2500,7497,4998,2499,0,7497
162,2500,7497,4998,2499,0,7497
163,2500,7497,4998,2499,0,7497
164,2500,7497,4998,2499,0,7497
165,2500,7497,4998,2499,0,7497
166,2500,7497,4998,2499,0,7497
167,2500,7497,4998,2499,0,7497
168,2500,7497,4998,2499,0,7497
169,2500,7497,4998,2499,0,7497
170,2500,7497,4998,2499,0,7497
171,2500,7497,4998,2499,0,7497
172,2500,7497,4998,2499,0,7497
173,2500,7497,4998,2499,0,7497
174,2500,7497,4998,2499,0,7497
175,2500,7497,4998,2499,0,7497
176,2500,7497,4998,2499,0,7497
177,2500,7497,4998,2499,0,7497
178,2500,7497,4998,2499,0,7497
179,2500,7497,4998,2499,0,7497
180,2500,7497,4998,2499,0,7497
181,2500,7497,4998,2499,0,7497
182,2500,7497,4998,2499,0,7497
183,2500,7497,4998,2499,0,7497
184,2500,7497,4998,2499,0,7497
185,2500,7497,4998,2499,0,7497
186,2500,7497,4998,2499,0,7497
187,2500,7497,4998,2499,0,7497
188,2500,7497,4998,2499,0,7497
189,2500,7497,4998,2499,0,7497
190,2500,7497,4998,2499,0,7497
191,2500,7497,4998,2499,0,7497
192,2500,7497,4998,2499,0,7497
193,2500,7497,4998,2499,0,7497
194,2500,7497,4998,2499,0,7497
195,2500,7497,4998,2499,0,7497
196,2500,7497,4998,2499,0,7497
197,2500,7497,4998,2499,0,7497
198,2500,7497,4998,2499,0,7497
199,2500,7497,4998,2499,0,7497
200,2500,7497,4998,2499,0,7497
201,2500,7497,4998,2499,0,7497
202,2500,7497,4998,2499,0,7497
203,2500,7497,4998,2499,0,7497
204,2500,7497,4998,2499,0,7497
205,2500,7497,4998,2499,0,7497
206,2500,7497,4998,2499,0,7497
207,2500,7497,4998,2499,0,7497
208,2500,7497,4998,2499,0,7497
209,2500,7497,4998,2499,0,7497
210,2500,7497,4998,2499,0,7497
211,2500,7497,4998,2499,0,7497
212,2500,7497,4998,2499,0,7497
213,2500,7497,4998,2499,0,7497
214,2500,7497,4998,2499,0,7497
215,2500,7497,4998,2499,0,7497
216,2500,7497,4998,2499,0,7497
217,2500,7497,4998,2499,0,7497
218,2500,7497,4998,2499,0,7497
219,2500,7497,4998,2499,0,7497
220,2500,7497,4998,2499,0,7497
221,2500,7497,4998,2499,0,7497
222,2500,7497,4998,2499,0,7497
223,2500,7497,4998,2499,0,7497
224,2500,7497,4998,2499,0,7497
225,2500,7497,4998,2499,0,7497
226,2500,7497,4998,2499,0,7497
227,2500,7497,4998,2499,0,7497
228,2500,7497,4998,2499,0,7497
229,2500,7497,4998,2499,0,7497
230,2500,7497,4998,2499,0,7497
231,2500,7497,4998,2499,0,7497
232,2500,7497,4998,2499,0,7497
233,2500,7497,4998,2499,0,7497
234,2500,7497,4998,2499,0,7497
235,2500,7497,4998,2499,0,7497
236,2500,7497,4998,2499,0,7497
237,2500,7497,4998,2499,0,7497
238,2500,7497,4998,2499,0,7497
239,2500,7497,4998,2499,0,7497
240,2500,7497,4998,2499,0,7497
241,2500,7497,4998,2499,0,7497
242,2500,7497,4998,2499,0,7497
243,2500,7497,4998,2499,0,7497
244,2500,7497,4998,2499,0,7497
245,2500,7497,4998,2499,0,7497
246,2500,7497,4998,2499,0,7497
247,2500,7497,4998,2499,0,7497
248,2500,7497,4998,2499,0,7497
249,2500,7497,4998,2499,0,7497
250,2500,7497,4998,2499,0,7497
251,2500,7497,4998,2499,0,7497
252,2500,7497,4998,2499,0,7497
253,2500,7497,4998,2499,0,7497
254,2500,7497,4998,2499,0,7497
255,2500,7497,4998,2499,0,7497
256,2500,7497,4998,2499,0,7497
257,2500,7497,4998,2499,0,7497
258,2500,7497,4998,2499,0,7497
259,2500,7497,4998,2499,0,7497
260,2500,7497,4998,2499,0,7497
261,2500,7497,4998,2499,0,7497
262,2500,7497,4998,2499,0,7497
263,2500,7497,4998,2499,0,7497
264,2500,7497,4998,2499,0,7497
265,2500,7497,4998,2499,0,7497
266,2500,7497,4998,2499,0,7497
267,2500,7497,4998,2499,0,7497
268,2500,7497,4998,2499,0,7497
269,2500,7497,4998,2499,0,7497
270,2500,7497,4998,2499,0,7497
271,2500,7497,4998,2499,0,7497
272,2500,7497,4998,2499,0,7497
273,2500,7497,4998,2499,0,7497
274,2500,7497,4998,2499,0,7497
275,2500,7497,4998,2499,0,7497
276,2500,7497,4998,2499,0,7497
277,2500,7497,4998,2499,0,7497
278,2500,7497,4998,2499,0,7497
279,2500,7497,4998,2499,0,7497
280,2500,7497,4998,2499,0,7497
281,2500,7497,4998,2499,0,7497
282,2500,7497,4998,2499,0,7497
283,2500,7497,4998,2499,0,7497
284,2500,7497,4998,2499,0,7497
285,2500,7497,4998,2499,0,7497
286,2500,7497,4998,2499,0,7497
287,2500,7497,4998,2499,0,7497
288,2500,7497,4998,2499,0,7497
289,2500,7497,4998,2499,0,7497
290,2500,7497,4998,2499,0,7497
291,2500,7497,4998,2499,0,7497
292,2500,7497,4998,2499,0,7497
293,2500,7497,4998,2499,0,7497
294,2500,7497,4998,2499,0,7497
295,2500,7497,4998,2499,0,7497
296,2500,7497,4998,2499,0,7497
297,2500,7497,4998,2499,0,7497
298,2500,7497,4998,2499,0,7497
299,2500,7497,4998,2499,0,7497
300,2500,7497,4998,2499,0,7497
301,2500,7497,4998,2499,0,7497
302,2500,7497,4998,2499,0,7497
303,2500,7497,4998,2499,0,7497
304,2500,7497,4998,2499,0,7497
305,2500,7497,4998,2499,0,7497
306,2500,7497,4998,2499,0,7497
307,2500,7497,4998,2499,0,7497
308,2500,7497,4998,2499,0,7497
309,2500,7497,4998,2499,0,7497
310,2500,7497,4998,2499,0,7497
311,2500,7497,4998,2499,0,7497
312,2500,7497,4998,2499,0,7497
313,2500,7497,4998,2499,0,7497
314,2500,7497,4998,2499,0,7497
315,2500,7497,4998,2499,0,7497
316,2500,7497,4998,2499,0,7497
317,2500,7497,4998,2499,0,7497
318,2500,7497,4998,2499,0,7497
319,2500,7497,4998,2499,0,7497
320,2500,7497,4998,2499,0,7497
321,2500,7497,4998,2499,0,7497
322,2500,7497,4998,2499,0,7497
323,2500,7497,4998,2499,0,7497
324,2500,7497,4998,2499,0,7497
325,2500,7497,4998,2499,0,7497
326,2500,7497,4998,2499,0,7497
327,2500,7497,4998,2499,0,7497
328,2500,7497,4998,2499,0,7497
329,2500,7497,4998,2499,0,7497
330,2500,7497,4998,2499,0,7497
331,2500,7497,4998,2499,0,7497
332,2500,7497,4998,2499,0,7497
333,2500,7497,4998,2499,0,7497
334,2500,7497,4998,2499,0,7497
335,2500,7497,4998,2499,0,7497
336,2500,7497,4998,2499,0,7497
337,2500,7497,4998,2499,0,7497
338,2500,7497,4998,2499,0,7497
339,2500,7497,4998,2499,0,7497
340,2500,7497,4998,2499,0,7497
341,2500,7497,4998,2499,0,7497
342,2500,7497,4998,2499,0,7497
343,2500,7497,4998,2499,0,7497
344,2500,7497,4998,2499,0,7497
345,2500,7497,4998,2499,0,7497
346,2500,7497,4998,2499,0,7497
347,2500,7497,4998,2499,0,7497
348,2500,7497,4998,2499,0,7497
349,2500,7497,4998,2499,0,7497
350,2500,7497,4998,2499,0,7497
351,2500,7497,4998,2499,0,7497
352,2500,7497,4998,2499,0,7497
353,2500,7497,4998,2499,0,7497
354,2500,7497,4998,2499,0,7497
355,2500,7497,4998,2499,0,7497
356,2500,7497,4998,2499,0,7497
357,2500,7497,4998,2499,0,7497
358,2500,7497,4998,2499,0,7497
359,2500,7497,4998,2499,0,7497
360,2500,7497,4998,2499,0,7497
361,2500,7497,4998,2499,0,7497
362,2500,7497,4998,2499,0,7497
363,2500,7497,4998,2499,0,7497
364,2500,7497,4998,2499,0,7497
365,2500,7497,4998,2499,0,7497
366,2500,7497,4998,2499,0,7497
367,2500,7497,4998,2499,0,7497
368,2500,7497,4998,2499,0,7497
369,2500,7497,4998,2499,0,7497
370,2500,7497,4998,2499,0,7497
371,2500,7497,4998,2499,0,7497
372,2500,7497,4998,2499,0,7497
373,2500,7497,4998,2499,0,7497
374,2500,7497,4998,2499,0,7497
375,2500,7497,4998,2499,0,7497
376,2500,7497,4998,2499,0,7497
377,2500,7497,4998,2499,0,7497
378,2500,7497,4998,2499,0,7497
379,2500,7497,4998,2499,0,7497
380,2500,7497,4998,2499,0,7497
381,2500,7497,4998,2499,0,7497
382,2500,7497,4998,2499,0,7497
383,2500,7497,4998,2499,0,7497
384,2500,7497,4998,2499,0,7497
385,2500,7497,4998,2499,0,7497
386,2500,7497,4998,2499,0,7497
387,2500,7497,4998,2499,0,7497
388,2500,7497,4998,2499,0,7497
389,2500,7497,4998,2499,0,7497
390,2500,7497,4998,2499,0,7497
391,2500,7497,4998,2499,0,7497
392,2500,7497,4998,2499,0,7497
393,2500,7497,4998,2499,0,7497
394,2500,7497,4998,2499,0,7497
395,2500,7497,4998,2499,0,7497
396,2500,7497,4998,2499,0,7497
397,2500,7497,4998,2499,0,7497
398,2500,7497,4998,2499,0,7497
399,2500,7497,4998,2499,0,7497
400,2500,7497,4998,2499,0,7497
401,2500,7497,4998,2499,0,7497
402,2500,7497,4998,2499,0,7497
403,2500,7497,4998,2499,0,7497
404,2500,7497,4998,2499,0,7497
405,2500,7497,4998,2499,0,7497
406,2500,7497,4998,2499,0,7497
407,2500,7497,4998,2499,0,7497
408,2500,7497,4998,2499,0,7497
409,2500,7497,4998,2499,0,7497
410,2500,7497,4998,2499,0,7497
411,2500,7497,4998,2499,0,7497
412,2500,7497,4998,2499,0,7497
413,2500,7497,4998,2499,0,7497
414,2500,7497,4998,2499,0,7497
415,2500,7497,4998,2499,0,7497
416,2500,7497,4998,2499,0,7497
417,2500,7497,4998,2499,0,7497
418,2500,7497,4998,2499,0,7497
419,2500,7497,4998,2499,0,7497
420,2500,7497,4998,2499,0,7497
421,2500,7497,4998,2499,0,7497
422,2500,7497,4998,2499,0,7497
423,2500,7497,4998,2499,0,7497
424,2500,7497,4998,2499,0,7497
425,2500,7497,4998,2499,0,7497
426,2500,7497,4998,2499,0,7497
427,2500,7497,4998,2499,0,7497
428,2500,7497,4998,2499,0,7497
429,2500,7497,4998,2499,0,7497
430,2500,7497,4998,2499,0,7497
431,2500,7497,4998,2499,0,7497
432,2500,7497,4998,2499,0,7497
433,2500,7497,4998,2499,0,7497
434,2500,7497,4998,2499,0,7497
435,2500,7497,4998,2499,0,7497
436,2500,7497,4998,2499,0,7497
437,2500,7497,4998,2499,0,7497
438,2500,7497,4998,2499,0,7497
439,2500,7497,4998,2499,0,7497
440,2500,7497,4998,2499,0,7497
441,2500,7497,4998,2499,0,7497
442,2500,7497,4998,2499,0,7497
443,2500,7497,4998,2499,0,7497
444,2500,7497,4998,2499,0,7497
445,2500,7497,4998,2499,0,7497
446,2500,7497,4998,2499,0,7497
447,2500,7497,4998,2499,0,7497
448,2500,7497,4998,2499,0,7497
449,2500,7497,4998,2499,0,7497
450,2500,7497,4998,2499,0,7497
451,2500,7497,4998,2499,0,7497
452,2500,7497,4998,2499,0,7497
453,2500,7497,4998,2499,0,7497
454,2500,7497,4998,2499,0,7497
455,2500,7497,4998,2499,0,7497
456,2500,7497,4998,2499,0,7497
457,2500,7497,4998,2499,0,7497
458,2500,7497,4998,2499,0,7497
459,2500,7497,4998,2499,0,7497
460,2500,7497,4998,2499,0,7497
461,2500,7497,4998,2499,0,7497
462,2500,7497,4998,2499,0,7497
463,2500,7497,4998,2499,0,7497
464,2500,7497,4998,2499,0,7497
465,2500,7497,4998,2499,0,7497
466,2500,7497,4998,2499,0,7497
467,2500,7497,4998,2499,0,7497
468,2500,7497,4998,2499,0,7497
469,2500,7497,4998,2499,0,7497
470,2500,7497,4998,2499,0,7497
471,2500,7497,4998,2499,0,7497
472,2500,7497,4998,2499,0,7497
473,2500,7497,4998,2499,0,7497
474,2500,7497,4998,2499,0,7497
475,2500,7497,4998,2499,0,7497
476,2500,7497,4998,2499,0,7497
477,2500,7497,4998,2499,0,7497
478,2500,7497,4998,2499,0,7497
479,2500,7497,4998,2499,0,7497
480,2500,7497,4998,2499,0,7497
481,2500,7497,4998,2499,0,7497
482,2500,7497,4998,2499,0,7497
483,2500,7497,4998,2499,0,7497
484,2500,7497,4998,2499,0,7497
485,2500,7497,4998,2499,0,7497
486,2500,7497,4998,2499,0,7497
487,2500,7497,4998,2499,0,7497
488,2500,7497,4998,2499,0,7497
489,2500,7497,4998,2499,0,7497
490,2500,7497,4998,2499,0,7497
491,2500,7497,4998,2499,0,7497
492,2500,7497,4998,2499,0,7497
493,2500,7497,4998,2499,0,7497
494,2500,7497,4998,2499,0,7497
495,2500,7497,4998,2499,0,7497
496,2500,7497,4998,2499,0,7497
497,2500,7497,4998,2499,0,7497
498,2500,7497,4998,2499,0,7497
499,2500,7497,4998,2499,0,7497
500,2500,7497,4998,2499,0,7497
501,2500,7497,4998,2499,0,7497
502,2500,7497,4998,2499,0,7497
503,2500,7497,4998,2499,0,7497
504,2500,7497,4998,2499,0,7497
505,2500,7497,4998,2499,0,7497
506,2500,7497,4998,2499,0,7497
507,2500,7497,4998,2499,0,7497
508,2500,7497,4998,2499,0,7497
509,2500,7497,4998,2499,0,7497
510,2500,7497,4998,2499,0,7497
511,2500,7497,4998,2499,0,7497
512,2500,7497,4998,2499,0,7497
513,2500,7497,4998,2499,0,7497
514,2500,7497,4998,2499,0,7497
515,2500,7497,4998,2499,0,7497
516,2500,7497,4998,2499,0,7497
517,2500,7497,4998,2499,0,7497
518,2500,7497,4998,2499,0,7497
519,2500,7497,4998,2499,0,7497
520,2500,7497,4998,2499,0,7497
521,2500,7497,4998,2499,0,7497
522,2500,7497,4998,2499,0,7497
523,2500,7497,4998,2499,0,7497
524,2500,7497,4998,2499,0,7497
525,2500,7497,4998,2499,0,7497
526,2500,7497,4998,2499,0,7497
527,2500,7497,4998,2499,0,7497
528,2500,7497,4998,2499,0,7497
529,2500,7497,4998,2499,0,7497
530,2500,7497,4998,2499,0,7497
531,2500,7497,4998,2499,0,7497
532,2500,7497,4998,2499,0,7497
533,2500,7497,4998,2499,0,7497
534,2500,7497,4998,2499,0,7497
535,2500,7497,4998,2499,0,7497
536,2500,7497,4998,2499,0,7497
537,2500,7497,4998,2499,0,7497
538,2500,7497,4998,2499,0,7497
539,2500,7497,4998,2499,0,7497
540,2500,7497,4998,2499,0,7497
541,2500,7497,4998,2499,0,7497
542,2500,7497,4998,2499,0,7497
543,2500,7497,4998,2499,0,7497
544,2500,7497,4998,2499,0,7497
545,2500,7497,4998,2499,0,7497
546,2500,7497,4998,2499,0,7497
547,2500,7497,4998,2499,0,7497
548,2500,7497,4998,2499,0,7497
549,2500,7497,4998,2499,0,7497
550,2500,7497,4998,2499,0,7497
551,2500,7497,4998,2499,0,7497
552,2500,7497,4998,2499,0,7497
553,2500,7497,4998,2499,0,7497
554,2500,7497,4998,2499,0,7497
555,2500,7497,4998,2499,0,7497
556,2500,7497,4998,2499,0,7497
557,2500,7497,4998,2499,0,7497
558,2500,7497,4998,2499,0,7497
559,2500,7497,4998,2499,0,7497
560,2500,7497,4998,2499,0,7497
561,2500,7497,4998,2499,0,7497
562,2500,7497,4998,2499,0,7497
563,2500,7497,4998,2499,0,7497
564,2500,7497,4998,2499,0,7497
