iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,5000,13331,22,9984,0,10006
1,5000,13331,19,9986,0,10005
2,5000,13331,22,9984,0,10006
3,5000,13331,29,9980,0,10009
4,5000,13331,26,9982,0,10008
5,5000,13331,39,9973,0,10012
6,5000,13331,21,9985,0,10006
7,5000,13331,22,9982,0,10004
8,5000,13331,21,9983,0,10004
9,5000,13331,30,9980,0,10010
10,5000,13331,24,9983,0,10007
11,5000,13331,32,9979,0,10011
12,5000,13331,18,9987,0,10005
13,5000,13331,22,9983,0,10005
14,5000,13331,17,9986,0,10003
15,5000,13331,18,9985,0,10003
16,5000,13331,23,9982,0,10005
17,5000,13331,26,9979,0,10005
18,5000,13331,25,9981,0,10006
19,5000,13331,15,9988,0,10003
20,5000,13331,28,9977,0,10005
21,5000,13331,25,9981,0,10006
22,5000,13331,18,9984,0,10002
23,5000,13331,17,9987,0,10004
24,5000,13331,24,9982,0,10006
25,5000,13331,15,9988,0,10003
26,5000,13331,16,9986,0,10002
27,5000,13331,24,9982,0,10006
28,5000,13331,27,9981,0,10008
29,5000,13331,12,9991,0,10003
30,5000,13331,21,9984,0,10005
31,5000,13331,22,9984,0,10006
32,5000,13331,21,9984,0,10005
33,5000,13331,29,9981,0,10010
34,5000,13331,33,9975,0,10008
35,5000,13331,31,9979,0,10010
36,5000,13331,20,9983,0,10003
37,5000,13331,22,9982,0,10004
38,5000,13331,28,9979,0,10007
39,5000,13331,23,9983,0,10006
40,5000,13331,19,9986,0,10005
41,5000,13331,18,9987,0,10005
42,5000,13331,30,9977,0,10007
43,5000,13331,24,9982,0,10006
44,5000,13331,23,9982,0,10005
45,5000,13331,22,9984,0,10006
46,5000,13331,21,9984,0,10005
47,5000,13331,19,9985,0,10004
48,5000,13331,14,9989,0,10003
49,5000,13331,27,9980,0,10007
50,5000,13331,20,9985,0,10005
51,5000,13331,31,9978,0,10009
52,5000,13331,29,9979,0,10008
53,5000,13331,22,9984,0,10006
54,5000,13331,23,9983,0,10006
