iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
0,2500,4999,5,4995,0,5000
1,2500,4999,5,4995,0,5000
2,2500,4999,5,4995,0,5000
3,2500,4999,5,4995,0,5000
4,2500,4999,5,4995,0,5000
5,2500,4999,5,4995,0,5000
6,2500,4999,5,4995,0,5000
7,2500,4999,5,4995,0,5000
8,2500,4999,5,4995,0,5000
9,2500,4999,5,4995,0,5000
10,2500,4999,5,4995,0,5000
11,2500,4999,5,4995,0,5000
12,2500,4999,5,4995,0,5000
13,2500,4999,5,4995,0,5000
14,2500,4999,5,4995,0,5000
15,2500,4999,5,4995,0,5000
16,2500,4999,5,4995,0,5000
17,2500,4999,5,4995,0,5000
18,2500,4999,5,4995,0,5000
19,2500,4999,5,4995,0,5000
20,2500,4999,5,4995,0,5000
21,2500,4999,5,4995,0,5000
22,2500,4999,5,4995,0,5000
23,2500,4999,5,4995,0,5000
24,2500,4999,5,4995,0,5000
25,2500,4999,5,4995,0,5000
26,2500,4999,5,4995,0,5000
27,2500,4999,5,4995,0,5000
28,2500,4999,5,4995,0,5000
29,2500,4999,5,4995,0,5000
30,2500,4999,5,4995,0,5000
31,2500,4999,5,4995,0,5000
32,2500,4999,5,4995,0,5000
33,2500,4999,5,4995,0,5000
34,2500,4999,5,4995,0,5000
35,2500,4999,5,4995,0,5000
36,2500,4999,5,4995,0,5000
37,2500,4999,5,4995,0,5000
38,2500,4999,5,4995,0,5000
39,2500,4999,5,4995,0,5000
40,2500,4999,5,4995,0,5000
41,2500,4999,5,4995,0,5000
42,2500,4999,5,4995,0,5000
43,2500,4999,5,4995,0,5000
44,2500,4999,5,4995,0,5000
45,2500,4999,5,4995,0,5000
46,2500,4999,5,4995,0,5000
47,2500,4999,5,4995,0,5000
48,2500,4999,5,4995,0,5000
49,2500,4999,5,4995,0,5000
50,2500,4999,5,4995,0,5000
51,2500,4999,5,4995,0,5000
52,2500,4999,5,4995,0,5000
53,2500,4999,5,4995,0,5000
54,2500,4999,5,4995,0,5000
55,2500,4999,5,4995,0,5000
56,2500,4999,5,4995,0,5000
57,2500,4999,5,4995,0,5000
58,2500,4999,5,4995,0,5000
59,2500,4999,5,4995,0,5000
60,2500,4999,5,4995,0,5000
61,2500,4999,5,4995,0,5000
62,2500,4999,5,4995,0,5000
63,2500,4999,5,4995,0,5000
64,2500,4999,5,4995,0,5000
65,2500,4999,5,4995,0,5000
66,2500,4999,5,4995,0,5000
67,2500,4999,5,4995,0,5000
68,2500,4999,5,4995,0,5000
69,2500,4999,5,4995,0,5000
70,2500,4999,5,4995,0,5000
71,2500,4999,5,4995,0,5000
72,2500,4999,5,4995,0,5000
73,2500,4999,5,4995,0,5000
74,2500,4999,5,4995,0,5000
75,2500,4999,5,4995,0,5000
76,2500,4999,5,4995,0,5000
77,2500,4999,5,4995,0,5000
78,2500,4999,5,4995,0,5000
79,2500,4999,5,4995,0,5000
80,2500,4999,5,4995,0,5000
81,2500,4999,5,4995,0,5000
82,2500,4999,5,4995,0,5000
83,2500,4999,5,4995,0,5000
84,2500,4999,5,4995,0,5000
85,2500,4999,5,4995,0,5000
86,2500,4999,5,4995,0,5000
87,2500,4999,5,4995,0,5000
88,2500,4999,5,4995,0,5000
89,2500,4999,5,4995,0,5000
90,2500,4999,5,4995,0,5000
91,2500,4999,5,4995,0,5000
92,2500,4999,5,4995,0,5000
93,2500,4999,5,4995,0,5000
94,2500,4999,5,4995,0,5000
95,2500,4999,5,4995,0,5000
96,2500,4999,5,4995,0,5000
97,2500,4999,5,4995,0,5000
98,2500,4999,5,4995,0,5000
99,2500,4999,5,4995,0,5000
100,2500,4999,5,4995,0,5000
101,2500,4999,5,4995,0,5000
102,2500,4999,5,4995,0,5000
103,2500,4999,5,4995,0,5000
104,2500,4999,5,4995,0,5000
105,2500,4999,5,4995,0,5000
106,2500,4999,5,4995,0,5000
107,2500,4999,5,4995,0,5000
108,2500,4999,5,4995,0,5000
109,2500,4999,5,4995,0,5000
110,2500,4999,5,4995,0,5000
111,2500,4999,5,4995,0,5000
112,2500,4999,5,4995,0,5000
113,2500,4999,5,4995,0,5000
114,2500,4999,5,4995,0,5000
115,2500,4999,5,4995,0,5000
116,2500,4999,5,4995,0,5000
117,2500,4999,5,4995,0,5000
118,2500,4999,5,4995,0,5000
119,2500,4999,5,4995,0,5000
120,2500,4999,5,4995,0,5000
121,2500,4999,5,4995,0,5000
122,2500,4999,5,4995,0,5000
123,2500,4999,5,4995,0,5000
124,2500,4999,5,4995,0,5000
125,2500,4999,5,4995,0,5000
126,2500,4999,5,4995,0,5000
127,2500,4999,5,4995,0,5000
128,2500,4999,5,4995,0,5000
129,2500,4999,5,4995,0,5000
130,2500,4999,5,4995,0,5000
131,2500,4999,5,4995,0,5000
132,2500,4999,5,4995,0,5000
133,2500,4999,5,4995,0,5000
134,2500,4999,5,4995,0,5000
135,2500,4999,5,4995,0,5000
136,2500,4999,5,4995,0,5000
137,2500,4999,5,4995,0,5000
138,2500,4999,5,4995,0,5000
139,2500,4999,5,4995,0,5000
140,2500,4999,5,4995,0,5000
141,2500,4999,5,4995,0,5000
142,2500,4999,5,4995,0,5000
143,2500,4999,5,4995,0,5000
144,2500,4999,5,4995,0,5000
145,2500,4999,5,4995,0,5000
146,2500,4999,5,4995,0,5000
147,2500,4999,5,4995,0,5000
148,2500,4999,5,4995,0,5000
149,2500,4999,5,4995,0,5000
150,2500,4999,5,4995,0,5000
151,2500,4999,5,4995,0,5000
152,2500,4999,5,4995,0,5000
153,2500,4999,5,4995,0,5000
154,2500,4999,5,4995,0,5000
155,2500,4999,5,4995,0,5000
156,2500,4999,5,4995,0,5000
157,2500,4999,5,4995,0,5000
158,2500,4999,5,4995,0,5000
159,2500,4999,5,4995,0,5000
160,2500,4999,5,4995,0,5000
161,2500,4999,5,4995,0,5000
162,2500,4999,5,4995,0,5000
163,2500,4999,5,4995,0,5000
164,2500,4999,5,4995,0,5000
165,2500,4999,5,4995,0,5000
166,2500,4999,5,4995,0,5000
167,2500,4999,5,4995,0,5000
168,2500,4999,5,4995,0,5000
169,2500,4999,5,4995,0,5000
170,2500,4999,5,4995,0,5000
171,2500,4999,5,4995,0,5000
172,2500,4999,5,4995,0,5000
173,2500,4999,5,4995,0,5000
174,2500,4999,5,4995,0,5000
175,2500,4999,5,4995,0,5000
176,2500,4999,5,4995,0,5000
177,2500,4999,5,4995,0,5000
178,2500,4999,5,4995,0,5000
179,2500,4999,5,4995,0,5000
180,2500,4999,5,4995,0,5000
181,2500,4999,5,4995,0,5000
182,2500,4999,5,4995,0,5000
183,2500,4999,5,4995,0,5000
184,2500,4999,5,4995,0,5000
185,2500,4999,5,4995,0,5000
186,2500,4999,5,4995,0,5000
187,2500,4999,5,4995,0,5000
188,2500,4999,5,4995,0,5000
189,2500,4999,5,4995,0,5000
190,2500,4999,5,4995,0,5000
191,2500,4999,5,4995,0,5000
192,2500,4999,5,4995,0,5000
193,2500,4999,5,4995,0,5000
194,2500,4999,5,4995,0,5000
195,2500,4999,5,4995,0,5000
196,2500,4999,5,4995,0,5000
197,2500,4999,5,4995,0,5000
198,2500,4999,5,4995,0,5000
199,2500,4999,5,4995,0,5000
200,2500,4999,5,4995,0,5000
201,2500,4999,5,4995,0,5000
202,2500,4999,5,4995,0,5000
203,2500,4999,5,4995,0,5000
204,2500,4999,5,4995,0,5000
205,2500,4999,5,4995,0,5000
206,2500,4999,5,4995,0,5000
207,2500,4999,5,4995,0,5000
208,2500,4999,5,4995,0,5000
209,2500,4999,5,4995,0,5000
210,2500,4999,5,4995,0,5000
211,2500,4999,5,4995,0,5000
212,2500,4999,5,4995,0,5000
213,2500,4999,5,4995,0,5000
214,2500,4999,5,4995,0,5000
215,2500,4999,5,4995,0,5000
216,2500,4999,5,4995,0,5000
217,2500,4999,5,4995,0,5000
218,2500,4999,5,4995,0,5000
219,2500,4999,5,4995,0,5000
220,2500,4999,5,4995,0,5000
221,2500,4999,5,4995,0,5000
222,2500,4999,5,4995,0,5000
223,2500,4999,5,4995,0,5000
224,2500,4999,5,4995,0,5000
225,2500,4999,5,4995,0,5000
226,2500,4999,5,4995,0,5000
227,2500,4999,5,4995,0,5000
228,2500,4999,5,4995,0,5000
229,2500,4999,5,4995,0,5000
230,2500,4999,5,4995,0,5000
231,2500,4999,5,4995,0,5000
232,2500,4999,5,4995,0,5000
233,2500,4999,5,4995,0,5000
234,2500,4999,5,4995,0,5000
235,2500,4999,5,4995,0,5000
236,2500,4999,5,4995,0,5000
237,2500,4999,5,4995,0,5000
238,2500,4999,5,4995,0,5000
239,2500,4999,5,4995,0,5000
240,2500,4999,5,4995,0,5000
241,2500,4999,5,4995,0,5000
242,2500,4999,5,4995,0,5000
243,2500,4999,5,4995,0,5000
244,2500,4999,5,4995,0,5000
245,2500,4999,5,4995,0,5000
246,2500,4999,5,4995,0,5000
247,2500,4999,5,4995,0,5000
248,2500,4999,5,4995,0,5000
249,2500,4999,5,4995,0,5000
250,2500,4999,5,4995,0,5000
251,2500,4999,5,4995,0,5000
252,2500,4999,5,4995,0,5000
253,2500,4999,5,4995,0,5000
254,2500,4999,5,4995,0,5000
255,2500,4999,5,4995,0,5000
256,2500,4999,5,4995,0,5000
257,2500,4999,5,4995,0,5000
258,2500,4999,5,4995,0,5000
259,2500,4999,5,4995,0,5000
260,2500,4999,5,4995,0,5000
261,2500,4999,5,4995,0,5000
262,2500,4999,5,4995,0,5000
263,2500,4999,5,4995,0,5000
264,2500,4999,5,4995,0,5000
265,2500,4999,5,4995,0,5000
266,2500,4999,5,4995,0,5000
267,2500,4999,5,4995,0,5000
268,2500,4999,5,4995,0,5000
269,2500,4999,5,4995,0,5000
270,2500,4999,5,4995,0,5000
271,2500,4999,5,4995,0,5000
272,2500,4999,5,4995,0,5000
273,2500,4999,5,4995,0,5000
274,2500,4999,5,4995,0,5000
275,2500,4999,5,4995,0,5000
276,2500,4999,5,4995,0,5000
277,2500,4999,5,4995,0,5000
278,2500,4999,5,4995,0,5000
279,2500,4999,5,4995,0,5000
280,2500,4999,5,4995,0,5000
281,2500,4999,5,4995,0,5000
282,2500,4999,5,4995,0,5000
283,2500,4999,5,4995,0,5000
284,2500,4999,5,4995,0,5000
285,2500,4999,5,4995,0,5000
286,2500,4999,5,4995,0,5000
287,2500,4999,5,4995,0,5000
288,2500,4999,5,4995,0,5000
289,2500,4999,5,4995,0,5000
290,2500,4999,5,4995,0,5000
291,2500,4999,5,4995,0,5000
292,2500,4999,5,4995,0,5000
293,2500,4999,5,4995,0,5000
294,2500,4999,5,4995,0,5000
295,2500,4999,5,4995,0,5000
296,2500,4999,5,4995,0,5000
297,2500,4999,5,4995,0,5000
298,2500,4999,5,4995,0,5000
299,2500,4999,5,4995,0,5000
300,2500,4999,5,4995,0,5000
301,2500,4999,5,4995,0,5000
302,2500,4999,5,4995,0,5000
303,2500,4999,5,4995,0,5000
304,2500,4999,5,4995,0,5000
305,2500,4999,5,4995,0,5000
306,2500,4999,5,4995,0,5000
307,2500,4999,5,4995,0,5000
308,2500,4999,5,4995,0,5000
309,2500,4999,5,4995,0,5000
310,2500,4999,5,4995,0,5000
311,2500,4999,5,4995,0,5000
312,2500,4999,5,4995,0,5000
313,2500,4999,5,4995,0,5000
314,2500,4999,5,4995,0,5000
315,2500,4999,5,4995,0,5000
316,2500,4999,5,4995,0,5000
317,2500,4999,5,4995,0,5000
318,2500,4999,5,4995,0,5000
319,2500,4999,5,4995,0,5000
320,2500,4999,5,4995,0,5000
321,2500,4999,5,4995,0,5000
