iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
166,5000,14997,9998,4999,0,14997
167,5000,14997,9998,4999,0,14997
168,5000,14997,9998,4999,0,14997
169,5000,14997,9998,4999,0,14997
170,5000,14997,9998,4999,0,14997
171,5000,14997,9998,4999,0,14997
172,5000,14997,9998,4999,0,14997
173,5000,14997,9998,4999,0,14997
174,5000,14997,9998,4999,0,14997
175,5000,14997,9998,4999,0,14997
176,5000,14997,9998,4999,0,14997
177,5000,14997,9998,4999,0,14997
178,5000,14997,9998,4999,0,14997
179,5000,14997,9998,4999,0,14997
180,5000,14997,9998,4999,0,14997
181,5000,14997,9998,4999,0,14997
182,5000,14997,9998,4999,0,14997
183,5000,14997,9998,4999,0,14997
184,5000,14997,9998,4999,0,14997
185,5000,14997,9998,4999,0,14997
186,5000,14997,9998,4999,0,14997
187,5000,14997,9998,4999,0,14997
188,5000,14997,9998,4999,0,14997
189,5000,14997,9998,4999,0,14997
190,5000,14997,9998,4999,0,14997
191,5000,14997,9998,4999,0,14997
192,5000,14997,9998,4999,0,14997
193,5000,14997,9998,4999,0,14997
194,5000,14997,9998,4999,0,14997
195,5000,14997,9998,4999,0,14997
196,5000,14997,9998,4999,0,14997
197,5000,14997,9998,4999,0,14997
198,5000,14997,9998,4999,0,14997
199,5000,14997,9998,4999,0,14997
200,5000,14997,9998,4999,0,14997
201,5000,14997,9998,4999,0,14997
202,5000,14997,9998,4999,0,14997
203,5000,14997,9998,4999,0,14997
204,5000,14997,9998,4999,0,14997
205,5000,14997,9998,4999,0,14997
206,5000,14997,9998,4999,0,14997
207,5000,14997,9998,4999,0,14997
208,5000,14997,9998,4999,0,14997
209,5000,14997,9998,4999,0,14997
210,5000,14997,9998,4999,0,14997
211,5000,14997,9998,4999,0,14997
212,5000,14997,9998,4999,0,14997
213,5000,14997,9998,4999,0,14997
214,5000,14997,9998,4999,0,14997
215,5000,14997,9998,4999,0,14997
216,5000,14997,9998,4999,0,14997
217,5000,14997,9998,4999,0,14997
218,5000,14997,9998,4999,0,14997
219,5000,14997,9998,4999,0,14997
220,5000,14997,9998,4999,0,14997
221,5000,14997,9998,4999,0,14997
222,5000,14997,9998,4999,0,14997
223,5000,14997,9998,4999,0,14997
224,5000,14997,9998,4999,0,14997
225,5000,14997,9998,4999,0,14997
226,5000,14997,9998,4999,0,14997
227,5000,14997,9998,4999,0,14997
228,5000,14997,9998,4999,0,14997
229,5000,14997,9998,4999,0,14997
230,5000,14997,9998,4999,0,14997
231,5000,14997,9998,4999,0,14997
232,5000,14997,9998,4999,0,14997
233,5000,14997,9998,4999,0,14997
234,5000,14997,9998,4999,0,14997
235,5000,14997,9998,4999,0,14997
236,5000,14997,9998,4999,0,14997
237,5000,14997,9998,4999,0,14997
238,5000,14997,9998,4999,0,14997
239,5000,14997,9998,4999,0,14997
240,5000,14997,9998,4999,0,14997
241,5000,14997,9998,4999,0,14997
242,5000,14997,9998,4999,0,14997
243,5000,14997,9998,4999,0,14997
244,5000,14997,9998,4999,0,14997
245,5000,14997,9998,4999,0,14997
246,5000,14997,9998,4999,0,14997
247,5000,14997,9998,4999,0,14997
248,5000,14997,9998,4999,0,14997
249,5000,14997,9998,4999,0,14997
250,5000,14997,9998,4999,0,14997
251,5000,14997,9998,4999,0,14997
252,5000,14997,9998,4999,0,14997
253,5000,14997,9998,4999,0,14997
254,5000,14997,9998,4999,0,14997
255,5000,14997,9998,4999,0,14997
256,5000,14997,9998,4999,0,14997
257,5000,14997,9998,4999,0,14997
258,5000,14997,9998,4999,0,14997
259,5000,14997,9998,4999,0,14997
260,5000,14997,9998,4999,0,14997
261,5000,14997,9998,4999,0,14997
262,5000,14997,9998,4999,0,14997
263,5000,14997,9998,4999,0,14997
264,5000,14997,9998,4999,0,14997
265,5000,14997,9998,4999,0,14997
266,5000,14997,9998,4999,0,14997
267,5000,14997,9998,4999,0,14997
268,5000,14997,9998,4999,0,14997
269,5000,14997,9998,4999,0,14997
270,5000,14997,9998,4999,0,14997
271,5000,14997,9998,4999,0,14997
272,5000,14997,9998,4999,0,14997
273,5000,14997,9998,4999,0,14997
274,5000,14997,9998,4999,0,14997
275,5000,14997,9998,4999,0,14997
276,5000,14997,9998,4999,0,14997
277,5000,14997,9998,4999,0,14997
278,5000,14997,9998,4999,0,14997
279,5000,14997,9998,4999,0,14997
280,5000,14997,9998,4999,0,14997
281,5000,14997,9998,4999,0,14997
282,5000,14997,9998,4999,0,14997
283,5000,14997,9998,4999,0,14997
284,5000,14997,9998,4999,0,14997
285,5000,14997,9998,4999,0,14997
286,5000,14997,9998,4999,0,14997
287,5000,14997,9998,4999,0,14997
288,5000,14997,9998,4999,0,14997
289,5000,14997,9998,4999,0,14997
290,5000,14997,9998,4999,0,14997
291,5000,14997,9998,4999,0,14997
292,5000,14997,9998,4999,0,14997
293,5000,14997,9998,4999,0,14997
294,5000,14997,9998,4999,0,14997
295,5000,14997,9998,4999,0,14997
296,5000,14997,9998,4999,0,14997
297,5000,14997,9998,4999,0,14997
298,5000,14997,9998,4999,0,14997
299,5000,14997,9998,4999,0,14997
300,5000,14997,9998,4999,0,14997
301,5000,14997,9998,4999,0,14997
302,5000,14997,9998,4999,0,14997
303,5000,14997,9998,4999,0,14997
304,5000,14997,9998,4999,0,14997
305,5000,14997,9998,4999,0,14997
306,5000,14997,9998,4999,0,14997
307,5000,14997,9998,4999,0,14997
308,5000,14997,9998,4999,0,14997
309,5000,14997,9998,4999,0,14997
310,5000,14997,9998,4999,0,14997
311,5000,14997,9998,4999,0,14997
312,5000,14997,9998,4999,0,14997
313,5000,14997,9998,4999,0,14997
314,5000,14997,9998,4999,0,14997
315,5000,14997,9998,4999,0,14997
316,5000,14997,9998,4999,0,14997
317,5000,14997,9998,4999,0,14997
318,5000,14997,9998,4999,0,14997
319,5000,14997,9998,4999,0,14997
320,5000,14997,9998,4999,0,14997
321,5000,14997,9998,4999,0,14997
322,5000,14997,9998,4999,0,14997
323,5000,14997,9998,4999,0,14997
324,5000,14997,9998,4999,0,14997
325,5000,14997,9998,4999,0,14997
326,5000,14997,9998,4999,0,14997
327,5000,14997,9998,4999,0,14997
328,5000,14997,9998,4999,0,14997
329,5000,14997,9998,4999,0,14997
330,5000,14997,9998,4999,0,14997
331,5000,14997,9998,4999,0,14997
332,5000,14997,9998,4999,0,14997
333,5000,14997,9998,4999,0,14997
334,5000,14997,9998,4999,0,14997
335,5000,14997,9998,4999,0,14997
336,5000,14997,9998,4999,0,14997
337,5000,14997,9998,4999,0,14997
338,5000,14997,9998,4999,0,14997
339,5000,14997,9998,4999,0,14997
340,5000,14997,9998,4999,0,14997
341,5000,14997,9998,4999,0,14997
342,5000,14997,9998,4999,0,14997
343,5000,14997,9998,4999,0,14997
344,5000,14997,9998,4999,0,14997
345,5000,14997,9998,4999,0,14997
346,5000,14997,9998,4999,0,14997
347,5000,14997,9998,4999,0,14997
348,5000,14997,9998,4999,0,14997
349,5000,14997,9998,4999,0,14997
350,5000,14997,9998,4999,0,14997
351,5000,14997,9998,4999,0,14997
352,5000,14997,9998,4999,0,14997
353,5000,14997,9998,4999,0,14997
354,5000,14997,9998,4999,0,14997
355,5000,14997,9998,4999,0,14997
356,5000,14997,9998,4999,0,14997
357,5000,14997,9998,4999,0,14997
358,5000,14997,9998,4999,0,14997
359,5000,14997,9998,4999,0,14997
360,5000,14997,9998,4999,0,14997
361,5000,14997,9998,4999,0,14997
362,5000,14997,9998,4999,0,14997
363,5000,14997,9998,4999,0,14997
364,5000,14997,9998,4999,0,14997
365,5000,14997,9998,4999,0,14997
366,5000,14997,9998,4999,0,14997
367,5000,14997,9998,4999,0,14997
368,5000,14997,9998,4999,0,14997
369,5000,14997,9998,4999,0,14997
370,5000,14997,9998,4999,0,14997
371,5000,14997,9998,4999,0,14997
372,5000,14997,9998,4999,0,14997
373,5000,14997,9998,4999,0,14997
374,5000,14997,9998,4999,0,14997
375,5000,14997,9998,4999,0,14997
376,5000,14997,9998,4999,0,14997
377,5000,14997,9998,4999,0,14997
378,5000,14997,9998,4999,0,14997
379,5000,14997,9998,4999,0,14997
380,5000,14997,9998,4999,0,14997
381,5000,14997,9998,4999,0,14997
382,5000,14997,9998,4999,0,14997
383,5000,14997,9998,4999,0,14997
384,5000,14997,9998,4999,0,14997
385,5000,14997,9998,4999,0,14997
386,5000,14997,9998,4999,0,14997
387,5000,14997,9998,4999,0,14997
388,5000,14997,9998,4999,0,14997
389,5000,14997,9998,4999,0,14997
390,5000,14997,9998,4999,0,14997
391,5000,14997,9998,4999,0,14997
392,5000,14997,9998,4999,0,14997
393,5000,14997,9998,4999,0,14997
394,5000,14997,9998,4999,0,14997
395,5000,14997,9998,4999,0,14997
396,5000,14997,9998,4999,0,14997
397,5000,14997,9998,4999,0,14997
398,5000,14997,9998,4999,0,14997
399,5000,14997,9998,4999,0,14997
400,5000,14997,9998,4999,0,14997
401,5000,14997,9998,4999,0,14997
402,5000,14997,9998,4999,0,14997
403,5000,14997,9998,4999,0,14997
404,5000,14997,9998,4999,0,14997
405,5000,14997,9998,4999,0,14997
406,5000,14997,9998,4999,0,14997
407,5000,14997,9998,4999,0,14997
408,5000,14997,9998,4999,0,14997
409,5000,14997,9998,4999,0,14997
410,5000,14997,9998,4999,0,14997
411,5000,14997,9998,4999,0,14997
412,5000,14997,9998,4999,0,14997
413,5000,14997,9998,4999,0,14997
414,5000,14997,9998,4999,0,14997
415,5000,14997,9998,4999,0,14997
416,5000,14997,9998,4999,0,14997
417,5000,14997,9998,4999,0,14997
418,5000,14997,9998,4999,0,14997
419,5000,14997,9998,4999,0,14997
420,5000,14997,9998,4999,0,14997
421,5000,14997,9998,4999,0,14997
422,5000,14997,9998,4999,0,14997
423,5000,14997,9998,4999,0,14997
424,5000,14997,9998,4999,0,14997
425,5000,14997,9998,4999,0,14997
426,5000,14997,9998,4999,0,14997
427,5000,14997,9998,4999,0,14997
428,5000,14997,9998,4999,0,14997
429,5000,14997,9998,4999,0,14997
430,5000,14997,9998,4999,0,14997
431,5000,14997,9998,4999,0,14997
432,5000,14997,9998,4999,0,14997
433,5000,14997,9998,4999,0,14997
434,5000,14997,9998,4999,0,14997
435,5000,14997,9998,4999,0,14997
436,5000,14997,9998,4999,0,14997
437,5000,14997,9998,4999,0,14997
438,5000,14997,9998,4999,0,14997
439,5000,14997,9998,4999,0,14997
440,5000,14997,9998,4999,0,14997
441,5000,14997,9998,4999,0,14997
442,5000,14997,9998,4999,0,14997
443,5000,14997,9998,4999,0,14997
444,5000,14997,9998,4999,0,14997
445,5000,14997,9998,4999,0,14997
446,5000,14997,9998,4999,0,14997
447,5000,14997,9998,4999,0,14997
448,5000,14997,9998,4999,0,14997
449,5000,14997,9998,4999,0,14997
450,5000,14997,9998,4999,0,14997
451,5000,14997,9998,4999,0,14997
452,5000,14997,9998,4999,0,14997
453,5000,14997,9998,4999,0,14997
454,5000,14997,9998,4999,0,14997
455,5000,14997,9998,4999,0,14997
456,5000,14997,9998,4999,0,14997
457,5000,14997,9998,4999,0,14997
458,5000,14997,9998,4999,0,14997
459,5000,14997,9998,4999,0,14997
460,5000,14997,9998,4999,0,14997
461,5000,14997,9998,4999,0,14997
462,5000,14997,9998,4999,0,14997
463,5000,14997,9998,4999,0,14997
464,5000,14997,9998,4999,0,14997
465,5000,14997,9998,4999,0,14997
466,5000,14997,9998,4999,0,14997
467,5000,14997,9998,4999,0,14997
468,5000,14997,9998,4999,0,14997
469,5000,14997,9998,4999,0,14997
470,5000,14997,9998,4999,0,14997
471,5000,14997,9998,4999,0,14997
472,5000,14997,9998,4999,0,14997
473,5000,14997,9998,4999,0,14997
474,5000,14997,9998,4999,0,14997
475,5000,14997,9998,4999,0,14997
476,5000,14997,9998,4999,0,14997
477,5000,14997,9998,4999,0,14997
478,5000,14997,9998,4999,0,14997
479,5000,14997,9998,4999,0,14997
480,5000,14997,9998,4999,0,14997
481,5000,14997,9998,4999,0,14997
482,5000,14997,9998,4999,0,14997
483,5000,14997,9998,4999,0,14997
484,5000,14997,9998,4999,0,14997
485,5000,14997,9998,4999,0,14997
486,5000,14997,9998,4999,0,14997
